广东频道,#genre#
CCTV-12,http://202.103.213.122:8888/rtp/239.81.0.119:4056$1920x1080
CCTV-12,http://218.64.60.38:8888/rtp/239.252.220.187:5140$1920x1080
CCTV-12,http://183.191.210.6:8082/rtp/226.0.1.168:3100$1920x1080
CCTV-12,http://221.205.61.119:8084/rtp/226.0.1.168:3100$1920x1080
CCTV-12,http://1.203.110.192:17777/rtp/225.1.8.12:8124$1920x1080
CCTV-12,http://115.171.80.17:8888/rtp/225.1.8.12:8124$1920x1080
CCTV-12,http://27.9.91.108:8002/rtp/225.0.4.129:7980$1920x1080
CCTV-12,http://183.185.228.5:8084/rtp/226.0.1.168:3100$1920x1080
CCTV-12,http://115.234.196.165:8808/rtp/233.50.201.123:5140$1920x1080
CCTV-13,http://1.203.110.192:17777/rtp/225.1.1.10:8128$1920x1080
CCTV-13,http://180.142.178.242:8138/rtp/239.81.0.206:4056$1920x1080
CCTV-13,http://27.11.48.117:8002/rtp/225.0.4.219:7980$1920x1080
CCTV-13,http://115.199.106.120:9999/rtp/233.50.201.246:5140$1920x1080
CCTV-13,http://113.206.187.193:8002/rtp/225.0.4.219:7980$1920x1080
CCTV-13,http://27.10.133.29:8004/rtp/225.0.4.219:7980$1920x1080
CCTV-13,http://115.171.80.17:8888/rtp/225.1.1.10:8128$1920x1080
CCTV-13,http://27.11.48.117:8008/rtp/225.0.4.219:7980$1920x1080
CCTV-13,http://27.190.24.36:11001/rtp/239.254.200.9:8264$1920x1080
CCTV-13,http://202.103.213.122:8888/rtp/239.81.0.206:4056$1920x1080
CCTV-13,http://222.129.36.60:9001/rtp/239.3.1.124:8128$1920x1080
CCTV-13,http://27.11.48.117:8005/rtp/225.0.4.219:7980$1920x1080
CCTV-13,http://27.10.133.29:8002/rtp/225.0.4.219:7980$1920x1080
CCTV-13,http://223.199.145.148:2222/rtp/239.253.64.59:5140$1920x1080
CCTV-13,http://61.140.148.82:3333/rtp/239.77.0.188:5146$1920x1080
CCTV-14,http://114.246.102.14:4000/rtp/239.3.1.65:8132$1920x1080
CCTV-14,http://180.124.225.2:3000/rtp/239.49.8.56:9826$1920x1080
CCTV-14,http://183.191.210.6:8082/rtp/226.0.1.170:3094$1920x1080
CCTV-14,http://27.10.74.112:8005/rtp/225.0.4.128:7980$1920x1080
CCTV-14,http://114.254.83.238:2222/rtp/239.3.1.65:8132$1920x1080
CCTV-14,http://123.114.19.80:4000/rtp/239.3.1.65:8132$1920x1080
